Ids,Location1,Location2,Type,Bedrooms,Bathrooms,Size_in_SqYds,Price_in_millions,Built_in_year,Parking_Spaces,Floors_in_Building,Elevators,Store_Rooms,Lobby_in_Building,Double_Glazed_Windows,Central_Air_Conditioning,Central_Heating,Waste_Disposal,Furnished,Service_Elevators_in_Building,Flooring,Electricity_Backup,Servant_Quarters,Study_Room,Prayer_Room,Powder_Room,Gym,Lounge_or_Sitting_Room,Laundry_Room,Business_Center_or_Media_Room_in_Building,Satellite_or_Cable_TV_Ready,Broadband_Internet_Access,Intercom,Conference_Room_in_Building,Community_Swimming_Pool,Community_Lawn_or_Garden,Community_Gym,Community_Center,First_Aid_or_Medical_Centre,Day_Care_center,Kids_Play_Area,Mosque,Barbeque_Area,Lawn_or_Garden,Swimming_Pool,Sauna,Jacuzzi,Nearby_Schools,Nearby_Hospital,Nearby_Shopping_Malls,Nearby_Restaurants,Nearby_Public_Transport_Service,Other_Nearby_Places,Security_Staff,Maintainance_Staff,Laundry_or_Dry_Cleaning_Facility,Facilities_for_Disabled
0,"DHA Phase 6, DHA Defence",DHA Defence,House,6.0,6.0,600.0,220.0,,3,,,,0,1,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"Saadi Town - Block 3, Saadi Town, Scheme 33",Scheme 33,House,6.0,6.0,240.0,38.5,,1,,,,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Bahria Town - Precinct 19, Bahria Town Karachi",Bahria Town Karachi,Flat,2.0,2.0,106.0,7.2,2023-01-01,2,10.0,4.0,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Askari 5 - Sector J, Askari 5, Malir Cantonment, Cantt",Cantt,House,5.0,5.0,375.0,72.5,2022-01-01,4,,,,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,"Bahria Town - Precinct 35, Bahria Sports City, Bahria Town Karachi",Bahria Town Karachi,House,4.0,4.0,350.0,21.1,,1,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,"Bahria Town - Precinct 10-A, Bahria Town Karachi",Bahria Town Karachi,House,3.0,3.0,250.0,18.0,,1,,,,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"DHA Phase 6, DHA Defence",DHA Defence,House,5.0,5.0,500.0,97.5,,4,,,,0,0,0,0,1,0,0,1,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"Bahria Town - Precinct 31, Bahria Town Karachi",Bahria Town Karachi,House,3.0,3.0,235.0,14.5,,1,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"Bahria Apartments, Bahria Town Karachi",Bahria Town Karachi,Flat,4.0,4.0,328.0,28.0,,1,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,"DHA Phase 8, DHA Defence",DHA Defence,Flat,3.0,3.0,200.0,40.0,2022-01-01,2,5.0,2.0,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
11,"Badar Commercial Area, DHA Phase 5, DHA Defence",DHA Defence,Flat,2.0,2.0,106.0,12.0,2000-01-01,0,4.0,,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"SMCHS - Sindhi Muslim Society, Jamshed Town",Jamshed Town,House,6.0,6.0,300.0,100.0,,6,,,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Scheme 33,Scheme 33,Flat,3.0,3.0,165.0,11.0,2022-01-01,0,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
15,"DHA Phase 8, DHA Defence",DHA Defence,House,6.0,6.0,500.0,165.0,2022-01-01,3,,,,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,"Sehar Commercial Area, DHA Phase 7, DHA Defence",DHA Defence,Flat,2.0,2.0,100.0,10.0,2000-01-01,0,,,,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Scheme 33,Scheme 33,Flat,2.0,2.0,83.0,4.7,2022-01-01,1,5.0,1.0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Scheme 33,Scheme 33,Flat,2.0,2.0,122.0,6.7,2022-01-01,0,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,"Bukhari Commercial Area, DHA Phase 6, DHA Defence",DHA Defence,Flat,2.0,2.0,61.0,8.0,,0,,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Scheme 33,Scheme 33,Flat,2.0,2.0,83.0,4.5,2021-01-01,0,,,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,"Model Colony - Malir, Malir",Malir,House,6.0,6.0,80.0,15.0,2021-01-01,0,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Scheme 33,Scheme 33,Flat,2.0,2.0,122.0,6.5,2022-01-01,0,,1.0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
